Date,Description,Amount,Category,Subcategory
2026-05-26,Fuel Station 063,-67.00,Transportation,Fuel
2026-05-27,Video Streaming 064,-17.99,Subscriptions,Streaming
2026-05-28,Monthly Rent 065,-1500.00,Housing,Rent or Mortgage
2026-05-29,Community Pharmacy 066,-23.50,Health,Pharmacy
2026-05-30,Example Employer Payroll 067,2350.00,Income,Paycheque
2026-05-31,Savings Transfer 068,-450.00,Transfers,Account Transfer
2026-06-01,Home Supply Store 069,-48.60,Shopping,Household Items
2026-06-02,Cinema Tickets 070,-24.00,Entertainment,Movies
2026-06-03,Electric Utility 071,-106.80,Housing,Utilities
2026-06-04,Local Restaurant 072,-45.35,Food & Dining,Restaurants
2026-06-05,Fresh Market 073,-42.00,Food & Dining,Groceries
2026-06-06,Neighbourhood Cafe 074,-6.65,Food & Dining,Restaurants
2026-06-07,Fuel Station 075,-76.00,Transportation,Fuel
2026-06-08,Video Streaming 076,-17.99,Subscriptions,Streaming
2026-06-09,Monthly Rent 077,-1500.00,Housing,Rent or Mortgage
2026-06-10,Community Pharmacy 078,-18.00,Health,Pharmacy
2026-06-11,Example Employer Payroll 079,2350.00,Income,Paycheque
2026-06-12,Savings Transfer 080,-450.00,Transfers,Account Transfer
2026-06-13,Home Supply Store 081,-27.00,Shopping,Household Items
2026-06-14,Cinema Tickets 082,-24.00,Entertainment,Movies
2026-06-15,Electric Utility 083,-106.80,Housing,Utilities
2026-06-16,Local Restaurant 084,-60.05,Food & Dining,Restaurants
2026-06-17,Fresh Market 085,-42.00,Food & Dining,Groceries
2026-06-18,Neighbourhood Cafe 086,-6.65,Food & Dining,Restaurants
2026-06-19,Fuel Station 087,-62.50,Transportation,Fuel
2026-06-20,Video Streaming 088,-17.99,Subscriptions,Streaming
2026-06-21,Monthly Rent 089,-1500.00,Housing,Rent or Mortgage
2026-06-22,Community Pharmacy 090,-31.75,Health,Pharmacy
2026-06-23,Example Employer Payroll 091,2350.00,Income,Paycheque
2026-06-24,Savings Transfer 092,-450.00,Transfers,Account Transfer
2026-06-25,Home Supply Store 093,-48.60,Shopping,Household Items
2026-06-26,Cinema Tickets 094,-24.00,Entertainment,Movies
2026-06-27,Electric Utility 095,-106.80,Housing,Utilities
2026-06-28,Local Restaurant 096,-38.00,Food & Dining,Restaurants
2026-06-29,Fresh Market 097,-42.00,Food & Dining,Groceries
2026-06-30,Neighbourhood Cafe 098,-6.65,Food & Dining,Restaurants
2026-07-01,Fuel Station 099,-71.50,Transportation,Fuel
2026-07-02,Video Streaming 100,-17.99,Subscriptions,Streaming
2026-07-03,Monthly Rent 101,-1500.00,Housing,Rent or Mortgage
2026-07-04,Community Pharmacy 102,-26.25,Health,Pharmacy
2026-07-05,Example Employer Payroll 103,2350.00,Income,Paycheque
2026-07-06,Savings Transfer 104,-450.00,Transfers,Account Transfer
2026-07-07,Home Supply Store 105,-27.00,Shopping,Household Items
2026-07-08,Cinema Tickets 106,-24.00,Entertainment,Movies
2026-07-09,Electric Utility 107,-106.80,Housing,Utilities
2026-07-10,Local Restaurant 108,-52.70,Food & Dining,Restaurants
2026-07-11,Fresh Market 109,-42.00,Food & Dining,Groceries
2026-07-12,Neighbourhood Cafe 110,-6.65,Food & Dining,Restaurants
2026-07-13,Fuel Station 111,-58.00,Transportation,Fuel
2026-07-14,Video Streaming 112,-17.99,Subscriptions,Streaming
2026-07-15,Monthly Rent 113,-1500.00,Housing,Rent or Mortgage
2026-07-16,Community Pharmacy 114,-20.75,Health,Pharmacy
2026-07-17,Example Employer Payroll 115,2350.00,Income,Paycheque
2026-07-18,Savings Transfer 116,-450.00,Transfers,Account Transfer
2026-07-19,Home Supply Store 117,-48.60,Shopping,Household Items
2026-07-20,Cinema Tickets 118,-24.00,Entertainment,Movies
2026-07-21,Electric Utility 119,-106.80,Housing,Utilities
2026-07-22,Local Restaurant 120,-67.40,Food & Dining,Restaurants
